,z=0.003,z=0.005,z=0.01,z=0.03,z=0.05,z=0.1,z=0.2,z=0.3,z=0.6,z=0.8,z=1.0,z=1.2,z=1.5,Vr
0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.5
1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.5519651379648733
2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.6018960015527277
3,28.28140703517588,29.457286432160803,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.649980701740263
4,26.743718592964825,28.01005025125628,29.728643216080403,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.696380972776919
5,25.47738693467337,26.653266331658294,28.462311557788944,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.741237004937536
6,24.301507537688444,25.5678391959799,27.28643216080402,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.7846712036911834
7,23.30653266331658,24.482412060301506,26.291457286432163,29.457286432160803,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.826791151789673
8,22.492462311557787,23.668341708542712,25.386934673366834,28.55276381909548,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.8676919706237225
9,21.678391959798994,22.85427135678392,24.57286432160804,27.64824120603015,29.27638190954774,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.9074582226522527
10,20.954773869346734,22.13065326633166,23.84924623115578,26.92462311557789,28.55276381909548,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.946165458897548
11,20.321608040201006,21.49748743718593,23.12562814070352,26.201005025125628,27.82914572864322,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.983881488837429
12,19.77889447236181,20.8643216080402,22.492462311557787,25.5678391959799,27.195979899497488,29.63819095477387,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.020667430934804
13,19.236180904522612,20.321608040201006,21.949748743718594,25.025125628140703,26.56281407035176,29.00502512562814,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.0565785881813285
14,18.69346733668342,19.77889447236181,21.407035175879397,24.482412060301506,26.020100502512562,28.462311557788944,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.09166518283301
