,11,1,3,4,2
wood,0.00022347477676935742,23.647300802134524,503.07831656595783,0.012604526376964569,955.4019966681743
steel,0.0026697265013630104,109.01487814115539,1192.2747698751446,0.05102453366114634,3885.6686821545372
resin,0.00011525203268036591,9.791659424195183,222.46471535713042,0.0023527570534560335,317.3170401500537
magnet,0.00254046544071428,84.27490430551653,920.3067736463885,0.03124189117477516,10699.940429125301
copper,0.04200460873273374,38.2584974779552,556.1690761015391,0.14018767376113012,15894.202582955368
other,0.0036747478645798902,7.095495687851985,113.25414885215575,0.014506013471567672,1357.4885021214748
transport,1.0819072174219644e-05,3.325970782793864,48.47641842701916,0.00033429140333268714,40.504872671741424
12m steel no zinc,0.0019524830901489437,411.42467683649716,4138.454523493719,0.2011255783444018,11329.267858818843
12m concrete,0.00570064508882669,556.2450563364047,4115.119432297806,0.09873853864877014,9707.523208864972
12m zinc,0.016911884849403296,53.36702004909864,872.410727719458,0.04302421349892917,9429.62077316728
12m cable,0.018059360019618175,9.69994598271347,125.15470550938349,0.05910891612716519,6653.8603813413965
12m transport concrete,0.0001369557369875508,39.92626895672986,602.9550528481287,0.002691752755005942,507.9276880424525
12m transport steel,1.77654785531168e-05,4.9469271892800695,72.90161355618237,0.0006809505003643299,63.61004608539123
electronics rectifier,0.003681529934338237,54.63050235428475,696.4028004965995,0.03348176530501852,2130.9220790698264
electronics charge controller,0.002897905082567913,13.131843115664457,162.38619542269072,0.012114297194981532,1088.2001575335512
electronics dump load,0.001352844899149254,30.254708522526784,383.2385777937218,0.016098145979151705,923.5302343702217
electronics electricity,0.03499337688536636,3798.982666456529,80538.09043433171,3.7965994993348593,54273.71541393152
electronics inverter,0.014854149490218814,90.72599317549862,1150.3138388042012,0.0719702216152662,6904.507007746216
electronics cables,0.10341721963580089,69.64873077934739,996.1944166110565,0.3349546885890937,37281.41412087894
electronics transport,4.832387742905628e-05,7.741271020420673,110.44009296125884,0.0007483843990408456,108.13366315771961
