,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
wood,0.21335183062982604,23.647300802134524,955.4019966681743,503.07831656595783,0.012604526376964569,0.07316435669664653,0.7868908880456836,2.0057467144384381e-07,5.297320337334257e-07,6.5298637035786,8206.35467320017,0.00022347477676935742,3.1708415025227343e-06,4.544211797976934e-06,0.22268534589620595,47.01348466696745
steel,0.4982205410121405,109.01487814115539,3885.6686821545372,1192.2747698751446,0.05102453366114634,0.1093769543415274,1.0837391094615576,1.0614025790670169e-06,3.310835338171259e-06,8.290006339938634,436.72313060407157,0.0026697265013630104,5.933728181050514e-06,7.905062805585705e-06,0.4408071559682817,54.36416067978212
resin,0.04315175347378487,9.791659424195183,317.3170401500537,222.46471535713042,0.0023527570534560335,0.007356048135331259,0.07585612396591372,1.3042409428501894e-08,2.86948412424484e-07,0.735343604625438,22.180470114602098,0.00011525203268036591,1.2582822883052764e-05,4.2073751627988106e-07,0.03099066474934553,5.156410178970816
magnet,0.5250193403229619,84.27490430551653,10699.940429125301,920.3067736463885,0.03124189117477516,2.0567472723852087,1.0166347785284553,9.780993140723822e-08,3.042822439022995e-06,44.95342691711001,2081.7884772375733,0.00254046544071428,6.8668539776088385e-06,7.821993417195844e-06,0.26640358073008624,41.404617695876794
copper,1.799812835091722,38.2584974779552,15894.202582955368,556.1690761015391,0.14018767376113012,0.09429837662278748,1.2756421010625663,3.2510038671904764e-07,2.352631671381137e-05,4.380254396455658,592.2319612395931,0.04200460873273374,2.9025510928208567e-06,4.572323143529881e-06,0.3733052850923536,30.268454746622663
other,0.17826108880505656,7.095495687851985,1357.4885021214748,113.25414885215575,0.014506013471567672,0.01666501131185037,0.19120673517015166,2.955017570854886e-08,2.02902411704712e-06,0.7035707594469252,595.7862645911224,0.0036747478645798902,4.681378399025587e-07,7.873071274031392e-07,0.05532181238091705,4.309627204737586
transport,0.03647351730992739,3.325970782793864,40.504872671741424,48.47641842701916,0.00033429140333268714,0.01086332811193943,0.11934199253512372,1.9411106129396855e-09,4.136632560928798e-08,0.29982791952065063,35.32869149108631,1.0819072174219644e-05,7.121139087213746e-07,3.0782009014553945e-07,0.03248851215515949,0.3052549414492345
18m steel no zinc,2.759895567075627,741.8313099660486,20314.440380580676,7461.14238674328,0.36403095625432563,0.6570253487606409,6.5417878886068115,4.477966543805031e-06,1.774840744774878e-05,43.767530237806106,2161.2778274354637,0.0034541839487437164,3.682328502457114e-05,4.87156019145446e-05,3.149217371976011,413.3031880391735
18m concrete,2.202480744574314,556.2450563364047,9707.523208865003,4115.119432297806,0.09873853864877023,0.6316116121001338,7.123248643831392,4.396662436568451e-07,7.603190473092629e-06,20.90229690283444,7647.416386351464,0.005700645088826709,3.635224846088008e-05,2.6207149952018872e-05,1.8960393085642282,96.95858123098029
18m zinc,9.600687834494963,98.75774300500711,17432.86599090675,1619.1710416045858,0.07953693307477035,0.4242601507112448,41.33864324409571,3.3197534349338746e-07,1.1135721391798657e-05,19.897431492680806,484.5646410867587,0.03125658544079255,1.317109701243786e-05,9.080427998494077e-05,0.4437866570672371,94.68449803994149
18m cable,1.1271014610335253,14.583017356770847,10004.707324122079,188.12359864186257,0.0888755339647774,0.05430946174851891,0.7569111233544219,2.0384384801588058e-07,1.4979612083951954e-05,1.729864361996455,361.73787912829266,0.027153974046471543,7.898090756361991e-07,2.5065172505821227e-06,0.21157563598688575,12.649301271753545
18m transport concrete,0.22622370378381937,39.926268956729785,507.92768804244554,602.9550528481278,0.0026917527550058625,0.08189740162020742,0.8949983914721822,1.9328433243191922e-08,5.648351054673018e-07,3.167548648115478,524.1754702168431,0.00013695573698753422,9.357708014300959e-06,4.417026906965032e-06,0.25586404621782777,2.8745103143275452
18m transport steel,0.09380411536108456,10.58847963694637,136.74796555499353,156.28742520031847,0.0014733237597508598,0.030023239244412605,0.3279733134539226,6.8145439230081565e-09,1.400279211619819e-07,1.116190743315346,119.58213757803239,3.8297192423283256e-05,2.1724877295083708e-06,1.0239002501275717e-06,0.09040197520565263,1.2547244360130123
electronics rectifier,0.3657809006307156,54.63050235428475,2130.9220790698264,696.4028004965995,0.03348176530501852,0.06604855868360329,0.6569401849004438,3.445595056475847e-08,1.4002184614555452e-06,6.888317060618357,167.73563744718243,0.003681529934338237,2.3260882200663905e-06,3.0337467018788235e-06,0.1727444945669294,27.204803160995674
electronics charge controller,0.11466278318268984,13.131843115664457,1088.2001575335512,162.38619542269072,0.012114297194981532,0.016323911911932786,0.17472070696911562,2.4820622523928815e-08,7.770859211226941e-07,1.3541466941874771,52.916619420769834,0.002897905082567913,8.752769254847804e-07,8.806052322274386e-07,0.057888377871654226,6.530624937250696
electronics dump load,0.20225423618069954,30.254708522526784,923.5302343702217,383.2385777937218,0.016098145979151705,0.030984780756218477,0.3116222570484887,1.853348093374591e-08,6.351937218363162e-07,4.1547440260706665,76.50028186412956,0.001352844899149254,1.0599066855030783e-06,1.4800323641843225e-06,0.09614240201951502,9.28329872214569
electronics electricity,29.584686084477017,5244.568038050695,74925.89942024265,111184.37013862736,5.241278030379427,4.95539079806896,43.46951648348904,2.3049103823550113e-06,7.658279916120702e-05,2993.5430441556437,19995.340263587063,0.04830902430193051,0.0002619452321677679,9.406692332125332e-05,11.948196271546704,2857.755717713578
electronics inverter,0.6801979535343106,90.72599317549862,6904.507007746216,1150.3138388042012,0.0719702216152662,0.110113476243303,1.1247515289339813,1.3563161114251454e-07,4.669498868420343e-06,9.735394742551863,491.2819623004496,0.014854149490218814,5.669057951568243e-06,5.209470186843684e-06,0.3927353774993225,33.012442165697074
electronics cables,3.9983657950719467,69.64873077934739,37281.41412087894,996.1944166110565,0.3349546885890937,0.21545355178421066,2.9229130232467666,7.167364951668519e-07,5.2158422301692846e-05,7.2330583115870075,1367.689940178258,0.10341721963580089,3.4626632966859025e-06,9.782957751284553e-06,0.8137314832938152,51.43239231862387
electronics transport,0.06393831967894681,7.741271020420673,108.13366315771961,110.44009296125884,0.0007483843990408456,0.019403475949385764,0.21170542516975194,6.065297480358067e-09,1.1255844933802944e-07,0.5521165245012116,81.2851853752428,4.832387742905628e-05,1.5782383102690338e-06,7.728976272371894e-07,0.06036185456036728,0.590170864528619
