Component,1800,2400,3000,3600,4200
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Tail_Vane_Bracket_Body,24.97,24.97,33.97,42.97,51.73
WindTurbine/Tail_Assembly/Tail/Hinge_Outer,187.27,217.06,247.01,283.18,309.69
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Outer_Pipe_Cover,28.56,28.56,28.56,28.56,28.56
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Pipe,100.91,123.23,146.45,175.62,194.93
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Stop_LowEnd,60.25,67.88,74.74,80.28,87.5
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Tail_Stop_LowEnd,57.81,65.28,72.0,79.0,86.2
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/YawBearing_Cylinder,682.97,818.02,958.5,1094.39,1203.87
WindTurbine/YawBearing,260.7,321.41,378.24,819.61,1012.68
WindTurbine/YawBearing/ArcWireSupport,1.46,2.63,3.22,2.58,2.6
WindTurbine/YawBearing/Pipe,207.74,248.82,291.55,332.88,366.19
WindTurbine/YawBearing/Plate_Top,45.66,61.59,72.48,0.0,0.0
WindTurbine/YawBearing/SafetyCatchPart,5.85,8.37,10.99,14.15,16.42
WindTurbine/YawBearing/SafetyCatchPart/SafetyCatch,5.85,8.37,10.99,14.15,16.42
WindTurbine/YawBearing/Side,0.0,0.0,0.0,225.17,321.0
WindTurbine/YawBearing/Top,0.0,0.0,0.0,244.83,306.47
