Diameter,1800
Component,Volume (cm³)
WindTurbine,8237.2
WindTurbine/Alternator,4573.68
WindTurbine/Alternator/Stator,1566.44
WindTurbine/Alternator/Stator/Coils,466.97
WindTurbine/Alternator/Stator/ResinCast,1099.48
WindTurbine/Alternator/Rotor_Back,975.84
WindTurbine/Alternator/Rotor_Back/Rotor_Disk_Back,454.72
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly,521.12
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly/Rotor_ResinCast,411.27
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly/Rotor_Magnets,109.85
WindTurbine/Alternator/Rotor_Front,451.42
WindTurbine/Alternator/Rotor_Front/BaseFeature,454.72
WindTurbine/Alternator/Rotor_Front/Binder,454.72
WindTurbine/Alternator/Hub,397.74
WindTurbine/Alternator/Hub/Flange,276.58
WindTurbine/Alternator/Hub/Flange_Cover_Front,24.63
WindTurbine/Alternator/Hub/Flange_Cover_Back,23.0
WindTurbine/Alternator/Hub/StubAxleShaft,73.52
WindTurbine/Alternator/Studs_Hub,134.18
WindTurbine/Alternator/Frame,420.64
WindTurbine/Alternator/Frame/Channel,193.84
WindTurbine/Alternator/Frame/Bracket_End_OneHole,46.93
WindTurbine/Alternator/Frame/Bracket_End_TwoHole,164.89
WindTurbine/Alternator/Frame/Plate_Bottom,14.97
WindTurbine/Alternator/Studs_Frame,61.94
WindTurbine/Alternator/Blade_Assembly_BackDisk,274.94
WindTurbine/Alternator/Blade_Assembly_FrontTriangle,290.54
WindTurbine/Alternator/Blade_Assembly_FrontTriangle/OuterScrewHoleMultiTransform,290.54
WindTurbine/Alternator/Blade_Assembly_FrontTriangle/InnerHoleScrewHoleMultiTransform,290.54
WindTurbine/YawBearing,260.7
WindTurbine/YawBearing/Pipe,207.74
WindTurbine/YawBearing/Plate_Top,45.66
WindTurbine/YawBearing/ArcWireSupport,1.46
WindTurbine/YawBearing/SafetyCatchPart,5.85
WindTurbine/YawBearing/SafetyCatchPart/SafetyCatch,5.85
WindTurbine/Tail_Assembly,3402.82
WindTurbine/Tail_Assembly/Hinge_Inner,240.53
WindTurbine/Tail_Assembly/Hinge_Inner/Pipe,136.98
WindTurbine/Tail_Assembly/Hinge_Inner/Junction,103.55
WindTurbine/Tail_Assembly/Hinge_Inner/Junction/Top_Cover,16.69
WindTurbine/Tail_Assembly/Hinge_Inner/Junction/Cover_Side_Front,43.43
WindTurbine/Tail_Assembly/Hinge_Inner/Junction/Cover_Side_Back,
WindTurbine/Tail_Assembly/Hinge_Inner/Tail_Hinge_Inner_Pipe_Cover,7.36
WindTurbine/Tail_Assembly/Tail,3162.29
WindTurbine/Tail_Assembly/Tail/Hinge_Outer,187.27
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Pipe,100.91
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Outer_Pipe_Cover,28.56
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Stop_LowEnd,60.25
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/YawBearing_Cylinder,682.97
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Tail_Stop_LowEnd,57.81
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane,2975.02
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Boom_Pipe,362.72
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Boom_Support,68.61
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top,45.16
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Tail_Vane_Bracket_Body,24.97
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First,10.1
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First/Bolt,6.24
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First/HexNut,1.64
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First/Washer,2.21
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_Second,
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Bottom,45.16
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane,2433.11
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Stop_HighEnd_Link,22.35
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Hinge_Outer_Cylinder,331.74
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Tail_Stop_HighEnd,20.25
