Diameter,3000
Component,Volume (cm³)
WindTurbine,21097.72
WindTurbine/Alternator,10160.92
WindTurbine/Alternator/Stator,2653.99
WindTurbine/Alternator/Stator/Coils,863.28
WindTurbine/Alternator/Stator/ResinCast,1790.71
WindTurbine/Alternator/Rotor_Back,1938.7
WindTurbine/Alternator/Rotor_Back/Rotor_Disk_Back,937.33
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly,1001.37
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly/Rotor_ResinCast,836.59
WindTurbine/Alternator/Rotor_Back/MagnetResin_Assembly/Rotor_Magnets,164.77
WindTurbine/Alternator/Rotor_Front,1935.4
WindTurbine/Alternator/Rotor_Front/Rotor_Disk,934.03
WindTurbine/Alternator/Rotor_Front/Rotor_Disk/BaseFeature,937.33
WindTurbine/Alternator/Rotor_Front/Rotor_Disk/Binder,937.33
WindTurbine/Alternator/Rotor_Front/MagnetResin_Assembly,1001.37
WindTurbine/Alternator/Hub,397.74
WindTurbine/Alternator/Hub/Flange,276.58
WindTurbine/Alternator/Hub/Flange_Cover_Front,24.63
WindTurbine/Alternator/Hub/Flange_Cover_Back,23.0
WindTurbine/Alternator/Hub/StubAxleShaft,73.52
WindTurbine/Alternator/Studs_Hub,155.23
WindTurbine/Alternator/Frame,568.68
WindTurbine/Alternator/Frame/Channel,272.32
WindTurbine/Alternator/Frame/Bracket_End_OneHole,46.93
WindTurbine/Alternator/Frame/Bracket_End_TwoHole,210.21
WindTurbine/Alternator/Frame/Plate_Bottom,39.22
WindTurbine/Alternator/Studs_Frame,61.94
WindTurbine/Alternator/Blade_Assembly_BackDisk,1154.83
WindTurbine/Alternator/Blade_Assembly_FrontTriangle,1294.4
WindTurbine/Alternator/Blade_Assembly_FrontTriangle/OuterScrewHoleMultiTransform,1295.91
WindTurbine/Alternator/Blade_Assembly_FrontTriangle/InnerHoleScrewHoleMultiTransform,1294.4
WindTurbine/YawBearing,378.24
WindTurbine/YawBearing/Pipe,291.55
WindTurbine/YawBearing/Plate_Top,72.48
WindTurbine/YawBearing/ArcWireSupport,3.22
WindTurbine/YawBearing/SafetyCatchPart,10.99
WindTurbine/YawBearing/SafetyCatchPart/SafetyCatch,10.99
WindTurbine/Tail_Assembly,10558.56
WindTurbine/Tail_Assembly/Hinge_Inner,345.45
WindTurbine/Tail_Assembly/Hinge_Inner/Pipe,192.24
WindTurbine/Tail_Assembly/Hinge_Inner/Junction,153.21
WindTurbine/Tail_Assembly/Hinge_Inner/Junction/Top_Cover,22.01
WindTurbine/Tail_Assembly/Hinge_Inner/Junction/Cover_Side_Front,65.6
WindTurbine/Tail_Assembly/Hinge_Inner/Junction/Cover_Side_Back,
WindTurbine/Tail_Assembly/Hinge_Inner/Tail_Hinge_Inner_Pipe_Cover,7.36
WindTurbine/Tail_Assembly/Tail,10213.11
WindTurbine/Tail_Assembly/Tail/Hinge_Outer,247.01
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Pipe,146.45
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Outer_Pipe_Cover,28.56
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Stop_LowEnd,74.74
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/YawBearing_Cylinder,958.5
WindTurbine/Tail_Assembly/Tail/Hinge_Outer/Tail_Stop_LowEnd,72.0
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane,9966.1
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Boom_Pipe,544.07
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Boom_Support,157.87
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top,55.29
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Tail_Vane_Bracket_Body,33.97
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First,10.66
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First/Bolt,6.8
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First/HexNut,1.64
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_First/Washer,2.21
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Top/Assembly_BoltNut_Second,10.66
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane_Bracket_Bottom,55.29
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Vane,9096.18
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Stop_HighEnd_Link,59.85
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Hinge_Outer_Cylinder,481.46
WindTurbine/Tail_Assembly/Tail/Assembly_BoomVane/Tail_Stop_HighEnd,57.39
