,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
wood,0.2133518306298265,23.647300802134573,955.401996668176,503.078316565956,0.012604526376964596,0.07316435669664659,0.7868908880456846,2.005746714438442e-07,5.297320337334282e-07,6.529863703578427,8206.354673200178,0.00022347477676936127,3.170841502522739e-06,4.5442117979769305e-06,0.2226853458962062,47.0134846669675
steel,0.4982205410121421,109.01487814115555,3885.6686821544686,1192.2747698748105,0.051024533661146454,0.1093769543415272,1.0837391094615567,1.061402579067018e-06,3.3108353381712927e-06,8.290006339916342,436.7231306040716,0.0026697265013630326,5.933728181050513e-06,7.905062805585585e-06,0.44080715596828135,54.36416067978182
resin,0.04315175347378498,9.791659424195194,317.31704015005425,222.46471535713198,0.0023527570534560382,0.007356048135331271,0.07585612396591392,1.3042409428501921e-08,2.8694841242448465e-07,0.7353436046255237,22.180470114603033,0.00011525203268036666,1.2582822883052767e-05,4.207375162798817e-07,0.030990664749345587,5.1564101789708285
magnet,0.5250193403229622,84.27490430551656,10699.940429125294,920.3067736463724,0.031241891174775167,2.056747272385208,1.0166347785284555,9.780993140723832e-08,3.042822439022995e-06,44.95342691710893,2081.788477237583,0.0025404654407142784,6.866853977608845e-06,7.821993417195842e-06,0.2664035807300863,41.404617695876865
copper,1.799812835091723,38.25849747795521,15894.202582955373,556.1690761014881,0.14018767376113014,0.09429837662278755,1.2756421010625674,3.2510038671904795e-07,2.352631671381138e-05,4.3802543964522815,592.2319612395877,0.042004608732733754,2.902551092820851e-06,4.572323143529863e-06,0.37330528509235383,30.268454746622766
other,0.1782610888050566,7.095495687851972,1357.4885021214734,113.25414885215417,0.014506013471567672,0.016665011311850324,0.19120673517015147,2.9550175708548873e-08,2.029024117047121e-06,0.703570759446825,595.7862645911176,0.003674747864579893,4.681378399025583e-07,7.873071274031377e-07,0.05532181238091698,4.309627204737577
transport,0.03647351730992806,3.3259707827939504,40.50487267174492,48.47641842702502,0.00033429140333270904,0.010863328111939602,0.11934199253512554,1.9411106129403216e-09,4.136632560928998e-08,0.2998279195209657,35.32869149113006,1.0819072174220721e-05,7.12113908721384e-07,3.0782009014555353e-07,0.03248851215516007,0.3052549414493018
12m steel no zinc,2.925999860158001,810.6112406534537,21764.56759199281,7958.021529831169,0.4013205307035318,0.6955415027741128,7.020278844962291,4.812505497688933e-06,1.8693711216613992e-05,44.2853645128609,2203.6911119729784,0.0029989958781646044,3.8859961441600475e-05,5.183128573518596e-05,3.4471452022064333,463.9321398282619
12m concrete,2.202480744574312,556.2450563364047,9707.523208864972,4115.119432297806,0.09873853864877014,0.631611612100132,7.123248643831392,4.396662436568457e-07,7.603190473092612e-06,20.902296902834447,7647.4163863515205,0.00570064508882669,3.63522484608791e-05,2.6207149952018825e-05,1.8960393085642275,96.95858123097996
12m zinc,13.722066353300928,135.97231595118905,23955.570838726086,2242.267347205364,0.10928723519721406,0.5988369715724983,59.18204513563645,4.507692879705044e-07,1.5293706019209832e-05,27.54691535212573,659.2853754954623,0.04292698439491007,1.8306592783621872e-05,0.00012994890335189086,0.6104576658378732,130.82184308856907
12m cable,1.43104136100962,18.51282367727318,12702.72481598178,238.84142381691734,0.11284052026939587,0.06895172018042245,0.9609999700215427,2.5879595385734965e-07,1.9019064278765028e-05,2.194766150911083,459.2785366758798,0.034476924823093856,1.0025194046365317e-06,3.1822820341379434e-06,0.26862391892094506,16.057980772753435
12m transport concrete,0.22622370378382037,39.92626895672986,507.9276880424525,602.9550528481287,0.002691752755005942,0.08189740162020749,0.8949983914721833,1.93284332431923e-08,5.648351054673107e-07,3.1675486481154915,524.1754702168475,0.0001369557369875508,9.357708014300805e-06,4.417026906965039e-06,0.25586404621782816,2.874510314327581
12m transport steel,0.08602615984316353,9.444133638896641,121.43735982575646,139.17580645277297,0.0012999964149171474,0.027290344405472334,0.2982747749509234,6.0669691178526974e-09,1.240734256307806e-07,0.989480114820466,105.72324882661377,3.391591341080634e-05,1.938131430317675e-06,9.068846602939197e-07,0.08206905157211548,1.1086753860037817
electronics rectifier,0.36578090063071633,54.630502354284815,2130.9220790698178,696.4028004966016,0.03348176530501864,0.06604855868360314,0.6569401849004434,3.445595056475852e-08,1.4002184614555577e-06,6.888317060618399,167.73563744719016,0.0036815299343382576,2.326088220066399e-06,3.0337467018788413e-06,0.17274449456692964,27.204803160995585
electronics charge controller,0.11466278318268984,13.131843115664445,1088.2001575335435,162.38619542269038,0.012114297194981536,0.016323911911932772,0.17472070696911543,2.482062252392876e-08,7.770859211226947e-07,1.3541466941874623,52.91661942077102,0.0028979050825679157,8.752769254847928e-07,8.806052322274377e-07,0.057888377871654205,6.53062493725069
electronics dump load,0.20225423618069943,30.254708522526748,923.530234370217,383.23857779372173,0.01609814597915171,0.030984780756218445,0.31162225704848834,1.8533480933745793e-08,6.351937218363166e-07,4.154744026070668,76.50028186412926,0.0013528448991492515,1.0599066855030762e-06,1.480032364184322e-06,0.09614240201951489,9.283298722145675
